datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
1/1/2018 5:00:00 AM,1/1/2018 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,84.49,141.100000,49.340000,7.270000,True,1
1/1/2018 6:00:00 AM,1/1/2018 1:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,75.03,121.480000,39.980000,6.470000,True,1
1/1/2018 7:00:00 AM,1/1/2018 2:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,69.77,106.160000,30.360000,6.030000,True,1
1/1/2018 8:00:00 AM,1/1/2018 3:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,69.90,105.290000,29.370000,6.020000,True,1
1/1/2018 9:00:00 AM,1/1/2018 4:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,73.80,111.260000,31.070000,6.390000,True,1
1/1/2018 10:00:00 AM,1/1/2018 5:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,80.21,116.980000,30.290000,6.480000,True,1
1/1/2018 11:00:00 AM,1/1/2018 6:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,81.11,114.980000,27.450000,6.420000,True,1
1/1/2018 12:00:00 PM,1/1/2018 7:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,88.33,129.920000,35.180000,6.410000,True,1
1/1/2018 1:00:00 PM,1/1/2018 8:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,99.50,144.360000,37.350000,7.510000,True,1
1/1/2018 2:00:00 PM,1/1/2018 9:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,100.42,151.110000,42.130000,8.560000,True,1
1/1/2018 3:00:00 PM,1/1/2018 10:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,107.27,177.480000,60.350000,9.860000,True,1
1/1/2018 4:00:00 PM,1/1/2018 11:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,92.09,147.820000,47.030000,8.700000,True,1
1/1/2018 5:00:00 PM,1/1/2018 12:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,78.28,124.460000,38.190000,7.990000,True,1
1/1/2018 6:00:00 PM,1/1/2018 1:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,73.12,115.930000,35.070000,7.740000,True,1
1/1/2018 7:00:00 PM,1/1/2018 2:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,71.07,112.830000,34.110000,7.650000,True,1
1/1/2018 8:00:00 PM,1/1/2018 3:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,70.39,109.900000,31.880000,7.630000,True,1
1/1/2018 9:00:00 PM,1/1/2018 4:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,85.34,137.640000,44.340000,7.960000,True,1
1/1/2018 10:00:00 PM,1/1/2018 5:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,124.25,195.150000,59.780000,11.120000,True,1
1/1/2018 11:00:00 PM,1/1/2018 6:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,130.35,194.720000,53.870000,10.500000,True,1
1/2/2018 12:00:00 AM,1/1/2018 7:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,119.85,174.280000,44.610000,9.820000,True,1
1/2/2018 1:00:00 AM,1/1/2018 8:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,112.48,166.570000,45.440000,8.650000,True,1
1/2/2018 2:00:00 AM,1/1/2018 9:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,106.20,152.920000,37.710000,9.010000,True,1
1/2/2018 3:00:00 AM,1/1/2018 10:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,96.48,144.020000,38.850000,8.690000,True,1
1/2/2018 4:00:00 AM,1/1/2018 11:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,82.69,123.560000,33.770000,7.100000,True,1
1/2/2018 5:00:00 AM,1/2/2018 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,112.70,143.350000,20.710000,9.940000,True,1
1/2/2018 6:00:00 AM,1/2/2018 1:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,108.88,141.120000,22.630000,9.610000,True,1
1/2/2018 7:00:00 AM,1/2/2018 2:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,108.59,139.840000,22.360000,8.890000,True,1
1/2/2018 8:00:00 AM,1/2/2018 3:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,113.19,147.510000,25.120000,9.200000,True,1
1/2/2018 9:00:00 AM,1/2/2018 4:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,116.17,150.190000,24.740000,9.280000,True,1
1/2/2018 10:00:00 AM,1/2/2018 5:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,142.65,178.680000,24.920000,11.110000,True,1
1/2/2018 11:00:00 AM,1/2/2018 6:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,165.52,210.310000,32.430000,12.360000,True,1
1/2/2018 12:00:00 PM,1/2/2018 7:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,211.43,243.840000,21.310000,11.100000,True,1
1/2/2018 1:00:00 PM,1/2/2018 8:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,193.65,226.110000,22.960000,9.500000,True,1
1/2/2018 2:00:00 PM,1/2/2018 9:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,172.71,206.420000,23.800000,9.910000,True,1
1/2/2018 3:00:00 PM,1/2/2018 10:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,157.10,185.080000,17.190000,10.790000,True,1
1/2/2018 4:00:00 PM,1/2/2018 11:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,126.56,153.090000,17.620000,8.910000,True,1
1/2/2018 5:00:00 PM,1/2/2018 12:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,113.73,141.540000,19.120000,8.690000,True,1
1/2/2018 6:00:00 PM,1/2/2018 1:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,100.13,127.330000,19.200000,8.000000,True,1
1/2/2018 7:00:00 PM,1/2/2018 2:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,94.29,122.990000,20.880000,7.820000,True,1
1/2/2018 8:00:00 PM,1/2/2018 3:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,93.70,123.700000,22.520000,7.480000,True,1
1/2/2018 9:00:00 PM,1/2/2018 4:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,111.55,144.800000,24.410000,8.840000,True,1
1/2/2018 10:00:00 PM,1/2/2018 5:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,156.19,200.320000,33.680000,10.450000,True,1
1/2/2018 11:00:00 PM,1/2/2018 6:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,169.57,207.200000,27.420000,10.210000,True,1
1/3/2018 12:00:00 AM,1/2/2018 7:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,159.15,198.920000,30.110000,9.660000,True,1
1/3/2018 1:00:00 AM,1/2/2018 8:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,145.39,183.180000,28.920000,8.870000,True,1
1/3/2018 2:00:00 AM,1/2/2018 9:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,131.23,162.580000,23.490000,7.860000,True,1
1/3/2018 3:00:00 AM,1/2/2018 10:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,103.90,132.410000,21.650000,6.860000,True,1
1/3/2018 4:00:00 AM,1/2/2018 11:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,93.65,122.210000,21.280000,7.280000,True,1
1/3/2018 5:00:00 AM,1/3/2018 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,122.60,141.920000,13.470000,5.850000,True,1
1/3/2018 6:00:00 AM,1/3/2018 1:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,115.74,134.300000,12.910000,5.650000,True,1
1/3/2018 7:00:00 AM,1/3/2018 2:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,114.04,132.060000,12.400000,5.620000,True,1
1/3/2018 8:00:00 AM,1/3/2018 3:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,117.49,136.020000,13.160000,5.370000,True,1
